Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
zofusi,N,P-s,"weapon, arm",fusi,MODIFIED,,1003
zofusunka,V,A/P-d,disarm,zofusi,CHANGED,,3022;ERGANE:39239
zofusenta,V,A/P-d,"arm, supply with weapons",zofusi,CHANGED,,3021;ERGANE:3970
xefusi,N,P-s,"scissors, shears",fusi,MODIFIED,,945
tefusi,N,P-s,"megaphone, speaking horn or trumpet",fusi,MODIFIED,,889
tenfusi,N,P-s,"spear, large javelin",fusi,MODIFIED,,1308
fifusi,N,P-s,pencil,fusi,MODIFIED,,718
bofifusi,N,P-s,pen [writing instrument],fifusi,MODIFIED,,2441
jofifusi,N,P-s,compass [drafting tool],fifusi,MODIFIED,,2560
binfifusi,N,P-s,typewriter,fifusi,MODIFIED,,2755;ERGANE:43099
binfifusiga,N,P-s,"type, print using a typewriter",binfifusi,CHANGED,,4040;ERGANE:43098
jufifusi,N,P-s,eraser,fifusi,MODIFIED,,2579
boyfusi,N,P-s,"rake, grass and leaf gathering tool",fusi,MODIFIED,,1045
koyfusi,N,P-s,dagger,fusi,MODIFIED,,1271;ERGANE:34177
cantofusi,N,P-s,hourglass,fusi,MODIFIED,,1630
bofusi,N,P-s,sponge,fusi,MODIFIED,,585;ERGANE:41424
zebofusi,N,P-s,oar,bofusi,MODIFIED,,2704
zebofusiga,N,P-s,"row, pull oars to move boat",zebofusi,CHANGED,,4034;ERGANE:37054
debofusi,N,P-s,paddle,bofusi,MODIFIED,,2488
twafusi,N,P-s,needle,fusi,MODIFIED,,1328;ERGANE:33149
zezumi,N,P-s,"string, cord",zumi,MODIFIED,,241
byezezumi,N,P-s,thread,zezumi,MODIFIED,,1624
kezezumi,N,P-s,"rope, cord, line",zezumi,MODIFIED,,1522;ERGANE:48844
cayzezumi,N,P-s,"shoelace, shoestring",zezumi,MODIFIED,,1637
dezezumi,N,P-s,tape,zezumi,MODIFIED,,1464
jodoyzumi,N,P-s,"hoop, ring",zumi,MODIFIED,,456
fezumi,N,P-s,"match, lucifer",zumi,MODIFIED,,141;ERGANE:32092
kizumi,N,P-s,candle,zumi,MODIFIED,,199;ERGANE:62154
cawzumi,N,P-s,"bar, pole, rod, shaft",zumi,MODIFIED,,288;ERGANE:43134
kusi,N,P-s,"problem, puzzle",to,DERIVATE,,14
jotikusi,N,P-s,"lap, circuit, round",kusi,MODIFIED,,419
jumi,N,P-s,"symbol, emblem, token, sign",kusi,DERIVATE,,49
cojumi,N,P-s,square,jumi,MODIFIED,,637;ERGANE:22924
kencojumi,N,P-s,rectangle,cojumi,MODIFIED,,2928;ERGANE:36950
bejumi,N,P-s,"signature, autograph",jumi,MODIFIED,,550;ERGANE:42189
bejumenta,V,A/P-d,"sign, autograph, write one's signature on",bejumi,CHANGED,,2744
tenjumi,N,P-s,"point, dot",jumi,MODIFIED,,1309
zajumi,N,P-s,"hexagon, six-sided polygon",jumi,MODIFIED,,975
bizajumi,N,P-s,hexahedron,zajumi,MODIFIED,,2432
cenjumi,N,P-s,"pile, heap, mound, bundle, bunch",jumi,MODIFIED,,1098
jotwejumi,N,P-s,"spiral, curl",jumi,MODIFIED,,1715;ERGANE:41344
fijumi,N,P-s,letter (of the alphabet),jumi,MODIFIED,,720
fenfijumi,N,P-s,"mark(ing), trace",fijumi,MODIFIED,,2859
kufijumi,N,P-s,alphabet,fijumi,MODIFIED,,2626
kujumi,N,P-s,"number, numeral, cipher",jumi,MODIFIED,,869;ERGANE:3087
bakujumi,N,P-s,"numeral, digit, cipher, a single numeric symbol",kujumi,MODIFIED,,2404;ERGANE:30587
finjumi,N,P-s,"outline, contour, silhouette",jumi,MODIFIED,,1192
dinjumi,N,P-s,"note, musical symbol",jumi,MODIFIED,,1149
dunjumi,N,P-s,knot,jumi,MODIFIED,,1167;ERGANE:4981
jojumi,N,P-s,circle,jumi,MODIFIED,,792
tajojumi,N,P-s,"curve, arc, bow",jojumi,MODIFIED,,2651
kenjojumi,N,P-s,ellipse,jojumi,MODIFIED,,2929
zejojumi,N,P-s,cylinder,jojumi,MODIFIED,,2708
bijojumi,N,P-s,sphere,jojumi,MODIFIED,,2422;ERGANE:40124
canjojumi,N,P-s,"hemisphere, dome",jojumi,MODIFIED,,2787;ERGANE:16219
joyjumi,N,P-s,"caduceus, medical symbol",jumi,MODIFIED,,1235
bajumi,N,P-s,"lump, gob, mass, accumulation",jumi,MODIFIED,,538;ERGANE:32369
dejumi,N,P-s,"sheet, flat shape",jumi,MODIFIED,,673;ERGANE:24474
kedejumi,N,P-s,"plane, flat level area",dejumi,MODIFIED,,2597;ERGANE:36166
jodejumi,N,P-s,disc,dejumi,MODIFIED,,2559
twadejumi,N,P-s,slab,dejumi,MODIFIED,,2983;ERGANE:40790
danjumi,N,P-s,plus-sign,jumi,MODIFIED,,1124
fawjumi,N,P-s,minus-sign,jumi,MODIFIED,,1180
fijejumi,N,P-s,"period, stop",jumi,MODIFIED,,1478;ERGANE:32722
xejumi,N,P-s,"cross, cruciform, cross-shaped object",jumi,MODIFIED,,947;ERGANE:22241
jinxejumi,N,P-s,swastika,xejumi,MODIFIED,,2897
jotwajumi,N,P-s,radius,jumi,MODIFIED,,1714;ERGANE:36272
xejotwajumi,N,P-s,diameter,jotwajumi,MODIFIED,,3169;ERGANE:7979
tejumi,N,P-s,"signal, sign, telltale, indicator",jumi,MODIFIED,,894
tejumiga,N,P-s,"signal, give or send a signal to",tejumi,CHANGED,,2661;ERGANE:40200
dijumi,N,P-s,triangle,jumi,MODIFIED,,680;ERGANE:44793
bunjumi,N,P-s,exclamation point,jumi,MODIFIED,,1051
zujumi,N,P-s,"particle, speck, grain, crumb",jumi,MODIFIED,,1010
zejumi,N,P-s,"strip/stripe, band, strap",jumi,MODIFIED,,985
jijumi,N,P-s,"stack, layering",jumi,MODIFIED,,774
jijumapa,V,A/P-d,"stack (up), pile up",jijumi,CHANGED,,2556
kawjumi,N,P-s,squiggle,jumi,MODIFIED,,1252
kejumi,N,P-s,polygon,jumi,MODIFIED,,823
bikejumi,N,P-s,polyhedron,kejumi,MODIFIED,,2423
cawjumi,N,P-s,line [the shape],jumi,MODIFIED,,1085
cucawjumi,N,P-s,underline,cawjumi,MODIFIED,,2812
bacawjumi,N,P-s,column,cawjumi,MODIFIED,,2734
zucawjumi,N,P-s,hyphen,cawjumi,MODIFIED,,3027;ERGANE:8591
kucawjumi,N,P-s,"line(up), queue, file",cawjumi,MODIFIED,,2941
xecawjumi,N,P-s,row,cawjumi,MODIFIED,,2992;ERGANE:21977
dicawjumi,N,P-s,"tier, level",cawjumi,MODIFIED,,2832
jinjumi,N,P-s,angle,jumi,MODIFIED,,1226
zijumi,N,P-s,parenthesis,jumi,MODIFIED,,996;ERGANE:31949
toyjumi,N,P-s,comma,jumi,MODIFIED,,1322;ERGANE:20371
zugi,N,P-s,"performance, show, production, presentation, engagement",kusi,DERIVATE,,76;ERGANE:24726
fuzugi,N,P-s,"meal, repast",zugi,MODIFIED,,751;ERGANE:26666
kefuzugi,N,P-s,"dinner, main meal",fuzugi,MODIFIED,,2601
fofuzugi,N,P-s,snack,fuzugi,MODIFIED,,2532
xefuzugi,N,P-s,"lunch, midday meal",fuzugi,MODIFIED,,2687
jefuzugi,N,P-s,dessert,fuzugi,MODIFIED,,2551;ERGANE:7742
bifuzugi,N,P-s,"feast, banquet",fuzugi,MODIFIED,,2421
difuzugi,N,P-s,"supper, evening meal",fuzugi,MODIFIED,,2495;ERGANE:42500
bafuzugi,N,P-s,breakfast,fuzugi,MODIFIED,,2400;ERGANE:27063
cizugi,N,P-s,"history, chronicle, historical work or production",zugi,MODIFIED,,636
juzugi,N,P-s,"story, tale",zugi,MODIFIED,,812
dinjuzugi,N,P-s,opera,juzugi,MODIFIED,,2835;ERGANE:31097
fodinjuzugi,N,P-s,operetta,dinjuzugi,MODIFIED,,4048
kejuzugi,N,P-s,"novel, book-length fictional story",juzugi,MODIFIED,,2603;ERGANE:37949
tizugi,N,P-s,traffic [people and vehicle movement],zugi,MODIFIED,,908
fatizugi,N,P-s,"journey, voyage, excursion, trip, jaunt",tizugi,MODIFIED,,2507
zetizugi,N,P-s,"parade, procession",tizugi,MODIFIED,,2712
buzugi,N,P-s,"task, assignment, job, chore, mission",zugi,MODIFIED,,610
kubuzugi,N,P-s,"campaign, crusade, drive, undertaking, endeavor, series of planned activities with a specific goal",buzugi,MODIFIED,,2622;ERGANE:18653
dwebuzugi,N,P-s,"prank, trick, jest, joke, practical joke, monkeyshine, shenanigan",buzugi,MODIFIED,,2847
binbuzugi,N,P-s,"convention, congress, conclave",buzugi,MODIFIED,,2753
bebuzugi,N,P-s,"composition, work, piece",buzugi,MODIFIED,,2407;ERGANE:20476
zozugi,N,P-s,battle,zugi,MODIFIED,,1007
bizozugi,N,P-s,"war, armed conflict",zozugi,MODIFIED,,2434
bizozugiga,N,P-s,"wage war against, be at war with",bizozugi,CHANGED,,3993
zizozugi,N,P-s,"siege, besiegement",zozugi,MODIFIED,,2718;ERGANE:40178
zizozugiga,N,P-s,"siege, besiege, invest",zizozugi,CHANGED,,4038
bunzugi,N,P-s,"crisis, emergency",zugi,MODIFIED,,1055;ERGANE:22119
jabunzugi,N,P-s,recession,bunzugi,MODIFIED,,2883
kejabunzugi,N,P-s,depression,jabunzugi,MODIFIED,,4053
benzugi,N,P-s,ceremony,zugi,MODIFIED,,1032;ERGANE:40928
byubazugi,N,P-s,"truce, ceasefire",zugi,MODIFIED,,1625
kutezugi,N,P-s,"meeting, get together, parlay, powwow, session",zugi,MODIFIED,,1539
kokwazugi,N,P-s,homework,zugi,MODIFIED,,1742
dwezugi,N,P-s,"game, match, contest, bout, competition, engagement",zugi,MODIFIED,,1176;ERGANE:27107
kedwezugi,N,P-s,tournament,dwezugi,MODIFIED,,2923;ERGANE:45320
janzugi,N,P-s,"trial, case, court or legal case",zugi,MODIFIED,,1213
xonzugi,N,P-s,crime [the event],zugi,MODIFIED,,1359
kunxonzugi,N,P-s,accident,xonzugi,MODIFIED,,3093
zoduzugi,N,P-s,occupation [military],zugi,MODIFIED,,1589
zoduzugiga,N,P-s,"occupy, keep possession of a country, etc",zoduzugi,CHANGED,,3145
bekizugi,N,P-s,"appointment, engagement, scheduled meeting",zugi,MODIFIED,,1407
binkizugi,N,P-s,"movie, motion picture, flick, film",zugi,MODIFIED,,1610
binzugi,N,P-s,"project, mission, operation",zugi,MODIFIED,,1038
jentezugi,N,P-s,"conference, council, conclave",zugi,MODIFIED,,1706
koyzugi,N,P-s,"funeral, burial",zugi,MODIFIED,,1276
cikoyzugi,N,P-s,"wake, funeral watch",koyzugi,MODIFIED,,2806
cizizugi,N,P-s,"memorial, commemoration",zugi,MODIFIED,,1449
zezugi,N,P-s,"course, itinerary, route",zugi,MODIFIED,,990;ERGANE:67281
kawzugi,N,P-s,adventure,zugi,MODIFIED,,1255
denzugi,N,P-s,"service, religious service",zugi,MODIFIED,,1144;ERGANE:20460
zoyzugi,N,P-s,"date, rendezvous, assignation",zugi,MODIFIED,,1386;ERGANE:7168
dawzugi,N,P-s,"news, tidings",zugi,MODIFIED,,1134;ERGANE:30467
fizugi,N,P-s,"work, composition, written or literary work",zugi,MODIFIED,,725
lufizugi,N,P-s,"literature, written works",fizugi,PREFIXED,,2644;ERGANE:24436
dintezugi,N,P-s,poem,zugi,MODIFIED,,1672;ERGANE:33982
byezugi,N,P-s,"event, incident",zugi,MODIFIED,,1073
xezugi,N,P-s,"conflict, struggle, disaccord, contention",zugi,MODIFIED,,950
dwetezugi,N,P-s,"joke, humorous words",zugi,MODIFIED,,1682
kocazugi,N,P-s,research,zugi,MODIFIED,,1527;ERGANE:11391
fakocazugi,N,P-s,fieldwork,kocazugi,MODIFIED,,3062
kozugi,N,P-s,"lesson, class, unit of teaching or learning",zugi,MODIFIED,,865
dukozugi,N,P-s,"propaganda, agitprop",kozugi,MODIFIED,,2500
bikozugi,N,P-s,"curriculum, course of study",kozugi,MODIFIED,,2426
tekozugi,N,P-s,"lecture, discourse, talk, disquisition",kozugi,MODIFIED,,2662
kekozugi,N,P-s,"course, school course",kozugi,MODIFIED,,2610;ERGANE:15318
dinzugi,N,P-s,"music, musical performance",zugi,MODIFIED,,1153;ERGANE:28944
bidinzugi,N,P-s,symphony,dinzugi,MODIFIED,,2747;ERGANE:40294
kudinzugi,N,P-s,"party, fun social gathering",dinzugi,MODIFIED,,2943;ERGANE:39115
tedinzugi,N,P-s,"song, tune",dinzugi,MODIFIED,,2971;ERGANE:18830
zunzugi,N,P-s,"play, stage play, theater piece",zugi,MODIFIED,,1393
zunzugono,A,P-s,"theatrical, thespian, histrionic",zunzugi,CHANGED,,3029;ERGANE:43282
zunzugona,V,P-s,"be theatrical, thespian, histrionic",zunzugono,CHANGED,,3984
tovi,N,P/F-s,"day, unit of measure equal to 24 hours",kusi,DERIVATE,,66
fotovi,N,P/F-s,"minute, unit of measure equal to 60 seconds",tovi,MODIFIED,,736;ERGANE:27949
tintovi,N,P/F-s,"hectare, a unit of land area measure equal to 10,000 square meters (= 2.471 acres)",tovi,MODIFIED,,1319;ERGANE:53340
Lazatovi,N,P-s,Friday,tovi,PREFIXED,,1546;ERGANE:46172
zutovi,N,P/F-s,"second, unit of measure equal to one-sixtieth of a minute",tovi,MODIFIED,,1019
Lataytovi,N,P-s,Saturday,tovi,PREFIXED,,1749;ERGANE:38295
Lacotovi,N,P-s,Wednesday,tovi,PREFIXED,,1541;ERGANE:27452
taytovi,N,P/F-s,"week, unit of measure equal to seven days",tovi,MODIFIED,,1300;ERGANE:39171
futovi,N,P/F-s,foot [twelve inches],tovi,MODIFIED,,748
bifutovi,N,P/F-s,mile,futovi,MODIFIED,,2420;ERGANE:27205
fofutovi,N,P/F-s,inch,futovi,MODIFIED,,2531
kefutovi,N,P/F-s,yard [three feet],futovi,MODIFIED,,2600
kaontovi,N,P/F-s,gallon,tovi,MODIFIED,,1518
fokaontovi,N,P/F-s,quart,kaontovi,MODIFIED,,3069
zukaontovi,N,P/F-s,pint,kaontovi,MODIFIED,,3146
bitovi,N,P/F-s,"year, annum, unit of measure equal to about 365 days or twelve months",tovi,MODIFIED,,575;ERGANE:18091
Laditovi,N,P-s,Tuesday,tovi,PREFIXED,,1542;ERGANE:26767
ketovi,N,P/F-s,"month, unit of time used with calendars which is approximately as extensive as some natural period related to the motion of the Moon",tovi,MODIFIED,,835;ERGANE:28259
Lacoketovi,N,P-s,April,ketovi,PREFIXED,,3101
Lafiketovi,N,P-s,August,ketovi,PREFIXED,,3107
Laxeketovi,N,P-s,February,ketovi,PREFIXED,,3120
Labajuketovi,N,P-s,October,ketovi,PREFIXED,,3177;ERGANE:30904
Lazaketovi,N,P-s,June,ketovi,PREFIXED,,3123
Ladiketovi,N,P-s,March,ketovi,PREFIXED,,3104
Latayketovi,N,P-s,July,ketovi,PREFIXED,,3164
Labaxeketovi,N,P-s,December,ketovi,PREFIXED,,3178
Labaketovi,N,P-s,January,ketovi,PREFIXED,,3098
Lababaketovi,N,P-s,November,ketovi,PREFIXED,,3176
Lakoketovi,N,P-s,September,ketovi,PREFIXED,,3110
Latuketovi,N,P-s,May,ketovi,PREFIXED,,3118
fetovi,N,P/F-s,degree (Celsius/Centigrade),tovi,MODIFIED,,712
Laxetovi,N,P-s,Monday,tovi,PREFIXED,,1545;ERGANE:24869
keatovi,N,P/F-s,acre,tovi,MODIFIED,,1262;ERGANE:2131
zetovi,N,P/F-s,meter [unit of measurement],tovi,MODIFIED,,988
cuzetovi,N,P/F-s,"step, pace, stride",zetovi,MODIFIED,,2478
xodizetovi,N,P/F-s,kilometer,zetovi,MODIFIED,,3137
twadizetovi,N,P/F-s,millimeter,zetovi,MODIFIED,,3167
twaxezetovi,N,P/F-s,centimeter,zetovi,MODIFIED,,3168
bawntovi,N,P/F-s,"pound, English weight measure equal to 16 ounces or about 0.45 kilograms",tovi,MODIFIED,,1399
kebawntovi,N,P/F-s,ton,bawntovi,MODIFIED,,3083;ERGANE:45262
fobawntovi,N,P/F-s,ounce,bawntovi,MODIFIED,,3067;ERGANE:45463
Latutovi,N,P-s,Thursday,tovi,PREFIXED,,1544;ERGANE:48325
zitovi,N,P/F-s,liter [unit of measurement],tovi,MODIFIED,,999
jintovi,N,P/F-s,degree [angle],tovi,MODIFIED,,1229
Labatovi,N,P-s,Sunday,tovi,PREFIXED,,1540;ERGANE:8142
cantovi,N,P/F-s,"hour, unit of measure equal to 60 minutes",tovi,MODIFIED,,1082
jatovi,N,P/F-s,dollar [unit of currency],tovi,MODIFIED,,762
zujatovi,N,P/F-s,cent,jatovi,MODIFIED,,2727
byetovi,N,P/F-s,unit (of measure),tovi,MODIFIED,,1072
cutovi,N,P/F-s,gram,tovi,MODIFIED,,652
xodicutovi,N,P/F-s,kilogram,cutovi,MODIFIED,,3136
tokusi,N,P-s,"summary, overview, outline, synopsis, capsule, survey",kusi,MODIFIED,,219
tokusapa,V,A/P-d,"summarize, recapitulate, sum up, boil down, recap, synopsize, capsulize",tokusi,CHANGED,,1561
fawjankusi,N,P-s,"sentence, legal punishment",kusi,MODIFIED,,479;ERGANE:35498
bekusi,N,P-s,"role, part [in a story]",kusi,MODIFIED,,89
tekusi,N,P-s,"word, lexeme, minimal free speech form",kusi,MODIFIED,,209;ERGANE:47264
ketekusi,N,P-s,sentence [grammatical],tekusi,MODIFIED,,1521
foytekusi,N,P-s,"phoneme, smallest unit of recognizable speech",tekusi,MODIFIED,,1695
fintekusi,N,P-s,consonant,tekusi,MODIFIED,,1693
toytekusi,N,P-s,noun,tekusi,MODIFIED,,1764
citekusi,N,P-s,preposition,tekusi,MODIFIED,,1448;ERGANE:34878
zutekusi,N,P-s,"morpheme, a minimal meaningful component of a word",tekusi,MODIFIED,,1592
cutekusi,N,P-s,root [of a word],tekusi,MODIFIED,,1454
byetekusi,N,P-s,syllable,tekusi,MODIFIED,,1623;ERGANE:40233
dintekusi,N,P-s,"stanza, verse",tekusi,MODIFIED,,1671
butekusi,N,P-s,verb,tekusi,MODIFIED,,1431;ERGANE:46304
fotekusi,N,P-s,phrase,tekusi,MODIFIED,,1485;ERGANE:14013
kutekusi,N,P-s,"vocabulary, lexicon, word inventory or repertoire",tekusi,MODIFIED,,1538;ERGANE:47261
bitekusi,N,P-s,"paragraph, logical or functional group of sentences",tekusi,MODIFIED,,1414
doytekusi,N,P-s,vowel,tekusi,MODIFIED,,1677;ERGANE:47157
duntekusi,N,P-s,adjective,tekusi,MODIFIED,,1680;ERGANE:1608
cantekusi,N,P-s,"clause, verbal sentence component",tekusi,MODIFIED,,1629;ERGANE:31884
bintekusi,N,P-s,adverb,tekusi,MODIFIED,,1611;ERGANE:1701
jajankusi,N,P-s,"fine, monetary penalty",kusi,MODIFIED,,454
dokusi,N,P-s,"feature, highlight",kusi,MODIFIED,,131
dinkusi,N,P-s,"tune, melody",kusi,MODIFIED,,310;ERGANE:27238
bidinkusi,N,P-s,movement [symphonic],dinkusi,MODIFIED,,1602
jekusi,N,P-s,"solution, answer (to a problem)",kusi,MODIFIED,,162
jekusayga,V,AP/F-d,"solve, figure out, work out",jekusi,CHANGED,,1703
zekusi,N,P-s,"range, scope, compass, gamut, scale",kusi,MODIFIED,,240
xenkusi,N,P-s,"award, prize, reward",kusi,MODIFIED,,378
byekusi,N,P-s,"step, measure, action, enumerable part of a performance",kusi,MODIFIED,,278
junkusi,N,P-s,concept,kusi,MODIFIED,,342
jabaykusi,N,P-s,"interest, premium, money earned on savings",kusi,MODIFIED,,453;ERGANE:17595
bukusi,N,P-s,"resource(s), means, asset(s)",kusi,MODIFIED,,109
kikuso,A,P-s,evidential,kusi,CHANGED,,197
kikusa,V,P-s,be evidential,kikuso,CHANGED,,851
fyukusi,N,P-s,"idea, notion",kusi,MODIFIED,,330;ERGANE:20603
zukusi,N,P-s,"detail, particular",kusi,MODIFIED,,254
jakusi,N,P-s,"funds, capital, money, finances",kusi,MODIFIED,,158
kwajakusi,N,P-s,"income, earnings",jakusi,MODIFIED,,1745
jakusono,A,P-s,"monetary, financial",jakusi,CHANGED,,1490
jakusona,V,P-s,"be monetary, financial",jakusono,CHANGED,,2549
byujakusi,N,P-s,rent [amount paid],jakusi,MODIFIED,,1627
bujakusi,N,P-s,"wage(s), salary, remuneration, emolument",jakusi,MODIFIED,,1429
bayjakusi,N,P-s,"allowance, stipend",jakusi,MODIFIED,,1595;ERGANE:66559
danjakusi,N,P-s,profit,jakusi,MODIFIED,,1658
fawjakusi,N,P-s,"loss, monetary loss, opposite of profit",jakusi,MODIFIED,,1688
xonjakusi,N,P-s,bribe,jakusi,MODIFIED,,1769
kujakusi,N,P-s,account [financial],jakusi,MODIFIED,,1534
kekuso,A,P-s,"mysterious, enigmatic",kusi,CHANGED,,186
kekusa,V,P-s,"be mysterious, enigmatic",kekuso,CHANGED,,828
benkusi,N,P-s,equation,kusi,MODIFIED,,262;ERGANE:9942
kekusi,N,P-s,"mystery, enigma",kusi,MODIFIED,,185
jaxikusi,N,P-s,share (of stock),kusi,MODIFIED,,417
fawkusi,N,P-s,"flaw, imperfection, fault, blemish",kusi,MODIFIED,,322
fawkusono,A,P-s,"flawed, imperfect, defective, deficient, unsound",fawkusi,CHANGED,,1690
fawkusona,V,P-s,"be flawed, imperfect, defective, deficient, unsound",fawkusono,CHANGED,,2851
kukusi,N,P-s,"score, tally, reckoning",kusi,MODIFIED,,205;ERGANE:1582
dankukusi,N,P-s,"surplus, excess, extra, spare(s)",kukusi,MODIFIED,,1659
kokukusi,N,P-s,"grade, mark, rating",kukusi,MODIFIED,,1528;ERGANE:36399
fawkukusi,N,P-s,deficit,kukusi,MODIFIED,,1689
bukukusi,N,P-s,"version, rendition, edition",kukusi,MODIFIED,,1430
fikukusi,N,P-s,"chapter, major section of a book",kukusi,MODIFIED,,1480
xonkusi,N,P-s,"mistake, error, blunder",kusi,MODIFIED,,381
kokusi,N,P-s,"test, exam(ination), trial, quiz",kusi,MODIFIED,,203
kokusiga,N,P-s,"test, give an exam or test to, test the knowledge or ability of",kokusi,CHANGED,,1529
kikusi,N,P-s,"evidence, grounds",kusi,MODIFIED,,196
zunkusi,N,P-s,scene,kusi,MODIFIED,,400
cizunkusi,N,P-s,preface,zunkusi,MODIFIED,,1649
bazunkusi,N,P-s,introduction (to a performance),zunkusi,MODIFIED,,1598
xuzunkusi,N,P-s,"body, main part (of a performance)",zunkusi,MODIFIED,,1771
jezunkusi,N,P-s,"conclusion, denouement, end (of a performance)",zunkusi,MODIFIED,,1707
kwakusi,N,P-s,"tax, levy",kusi,MODIFIED,,358
kokwakusi,N,P-s,"intelligence, information from spying",kwakusi,MODIFIED,,1741
fakwakusi,N,P-s,"customs, duty, import duty",kwakusi,MODIFIED,,1686
tacakusi,N,P-s,"excuse, alibi",kusi,MODIFIED,,435
xokusi,N,P-s,climax,kusi,MODIFIED,,237
zenkusi,N,P-s,"subject, topic, issue, matter",kusi,MODIFIED,,383;ERGANE:42253
jami,N,P-s,"law, statute, canon, ordinance",kusi,DERIVATE,,45;ERGANE:68695
bujami,N,P-s,"program, plan, procedure, system",jami,MODIFIED,,597
cibujami,N,P-s,"condition, precondition, prerequisite",bujami,MODIFIED,,2472
dunbujami,N,P-s,"rule, regulation, bylaw, canon",bujami,MODIFIED,,2840
tajami,N,P-s,bill [legislative],jami,MODIFIED,,880
xijami,N,P-s,"term, stipulation, condition, provision",jami,MODIFIED,,951
jajami,N,P-s,"economy, market/marketplace",jami,MODIFIED,,755;ERGANE:48888
cajajami,N,P-s,"bargain, good buy, steal",jajami,MODIFIED,,2461;ERGANE:66702
dunjajami,N,P-s,budget,jajami,MODIFIED,,2844;ERGANE:6627
tejami,N,P-s,"language, tongue, lingua",jami,MODIFIED,,892
tintejami,N,P-s,"dialect, local version of a language",tejami,MODIFIED,,2978;ERGANE:7972
Labitejami,N,P-s,English language,tejami,PREFIXED,,3099
Laxetejami,N,P-s,Japanese language,tejami,PREFIXED,,3121
Ladoytejami,N,P-s,German language,tejami,PREFIXED,,3157
fotejami,N,P-s,creole,tejami,MODIFIED,,2540
Lacuntejami,N,P-s,Chinese language,tejami,PREFIXED,,3156
Larantejami,N,P-s,French language,tejami,PREFIXED,,3160
Lasawtejami,N,P-s,Arabic language,tejami,PREFIXED,,3161
Larutejami,N,P-s,Russian language,tejami,PREFIXED,,3115
Latejami,N,P-s,the name of the interlingua,tejami,PREFIXED,,2642
zutejami,N,P-s,"pidgin, trade language",tejami,MODIFIED,,2732
Latatejami,N,P-s,Italian language,tejami,PREFIXED,,3116
Lapatejami,N,P-s,Spanish language,tejami,PREFIXED,,3111
Labantejami,N,P-s,Bengali language,tejami,PREFIXED,,3154
Lajitejami,N,P-s,Hausa language,tejami,PREFIXED,,3108
Lasyatejami,N,P-s,Indonesian language,tejami,PREFIXED,,3162
Ladyatejami,N,P-s,Hindi language,tejami,PREFIXED,,3158
Lapotejami,N,P-s,Portuguese language,tejami,PREFIXED,,3112
cunjami,N,P-s,insurance (policy),jami,MODIFIED,,1118
cunjamiga,N,P-s,"insure, provide an insurance policy for",cunjami,CHANGED,,2814
kunjami,N,P-s,"cipher, secret code",jami,MODIFIED,,1278
denxonjami,N,P-s,taboo,jami,MODIFIED,,1796
bajami,N,P-s,"standard, guiding protocol or formalism",jami,MODIFIED,,536
dunjami,N,P-s,"contract, pact, policy, covenant, compact, legal agreement or covenant",jami,MODIFIED,,1166;ERGANE:21169
tedunjami,N,P-s,grammar,dunjami,MODIFIED,,2972;ERGANE:15402
xidunjami,N,P-s,"deed, ownership contract",dunjami,MODIFIED,,2995;ERGANE:2178
tijami,N,P-s,"process, procedure, operation, course",jami,MODIFIED,,902
tetijami,N,P-s,"instruction, direction, information about how to do something",tijami,MODIFIED,,2663
dujami,N,P-s,"treaty, concord/concordat, binding international agreement",jami,MODIFIED,,696
bijami,N,P-s,"constitution, law of the land",jami,MODIFIED,,562
bajamo,A,P-s,"standard, official, authoritative",jami,CHANGED,,537
bajama,V,P-s,"be standard, official, authoritative",bajamo,CHANGED,,1884
fujami,N,P-s,"recipe, cooking instructions",jami,MODIFIED,,742
dunfujami,N,P-s,"diet, what one eats",fujami,MODIFIED,,2843;ERGANE:8019
jamono,A,P-s,legal,jami,CHANGED,,760
jamona,V,P-s,be legal,jamono,CHANGED,,2001
dayjami,N,P-s,"deal, agreement, pact, compact, bargain",jami,MODIFIED,,1137
xajamo,A,P-s,traditional,jami,CHANGED,,939
xajama,V,P-s,be traditional,xajamo,CHANGED,,2123
cujami,N,P-s,"principle, precept, tenet, guideline, working or guiding principle",jami,MODIFIED,,645
xajami,N,P-s,"tradition, custom, more",jami,MODIFIED,,938;ERGANE:44254
kuxajami,N,P-s,"culture, folkways",xajami,MODIFIED,,2637
xujami,N,P-s,"network, web",jami,MODIFIED,,968;ERGANE:27125
Laxujami,N,P-s,Internet,xujami,PREFIXED,,2643
koxujami,N,P-s,"theory, comprehensive and principled explanatory system",xujami,MODIFIED,,2621;ERGANE:43617
kojami,N,P-s,"program, computer program",jami,MODIFIED,,857
binkojami,N,P-s,"technology, craft, technical knowhow",kojami,MODIFIED,,2758
binkojamono,A,P-s,technological,binkojami,CHANGED,,4041
binkojamona,V,P-s,be technological,binkojamono,CHANGED,,4719
fokojami,N,P-s,subroutine,kojami,MODIFIED,,2536
takojami,N,P-s,"hypothesis, possible explanation",kojami,MODIFIED,,2653
cayjami,N,P-s,"policy, position, platform",jami,MODIFIED,,1092
dinjami,N,P-s,"score, music",jami,MODIFIED,,1148;ERGANE:1582
